Nombre;ALDESA;ARAMAYO;ARAMSA;AZVI;CAME;CASA;BALZOLA;DURAN;MAYO;COSAPI;REYNA;GYM;ICCGSA;IESA;JJC;JOHE SA;OBRAINSA;ODEBRECHT;SUPERCONC;SVC;Otras empresas (Individuales);Otras empresas (Consorcio)
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
53;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
55;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1
59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
60;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
61;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
66;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
67;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
73;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
74;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
75;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
79;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
80;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;
81;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
82;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
83;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
88;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
89;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
94;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
95;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
98;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
105;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
107;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
109;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;;
110;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;
111;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
118;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;
120;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
122;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
128;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
129;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
130;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;;
131;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
132;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
136;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
141;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
149;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;;1
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
151;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
152;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
155;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
160;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;;
161;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
162;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
164;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
169;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
173;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
176;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
180;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
189;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
192;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
196;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
198;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
199;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
201;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
204;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
205;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
207;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
211;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
212;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;;
213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1
216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
222;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;1
223;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
226;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
227;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
235;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
241;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
243;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
247;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
248;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
252;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
255;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
256;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
258;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;;
259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
260;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
262;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
265;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
269;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;
270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1
271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
273;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
277;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
280;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
283;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
287;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;;
288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
291;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;
298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
301;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
303;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
305;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
307;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
